Team,Number
Real Sociedad,64
Real Sociedad,64
Real Sociedad,64
Real Sociedad,64
Real Sociedad,64
Real Sociedad,64
Real Sociedad,64
Real Unión Club,65
Real Unión Club,65
Real Valladolid CF,66
Real Valladolid CF,66
Real Valladolid CF,66
Real Valladolid CF,66
Real Valladolid CF,66
Real Valladolid CF,66
Real Valladolid CF,66
Real Valladolid CF,66
Real Valladolid CF,66
Real Valladolid CF,66
Real Valladolid CF,66
Real Valladolid CF,66
Real Valladolid CF,66
Real Valladolid CF,66
Real Valladolid CF,66
Real Zaragoza,67
Real Zaragoza,67
Real Zaragoza,67
Real Zaragoza,67
Real Zaragoza,67
Real Zaragoza,67
Real Zaragoza,67
Real Zaragoza,67
Real Zaragoza,67
Real Zaragoza,67
Real Zaragoza,67
Real Zaragoza,67
Real Zaragoza,67
Real Zaragoza,67
Real Zaragoza,67
Real Zaragoza,67
Real Zaragoza,67
Recreativo Huelva,68
Recreativo Huelva,68
Recreativo Huelva,68
Recreativo Huelva,68
Recreativo Huelva,68
Recreativo Huelva,68
Rosenborg BK,69
Rosenborg BK,69
SD Eibar,70
SD Eibar,70
SD Eibar,70
SD Eibar,70
SD Eibar,70
SD Eibar,70
SD Eibar,70
SD Eibar,70
SD Eibar,70
SD Eibar,70
SD Eibar,70
SD Eibar,70
SD Huesca,71
SD Huesca,71
SD Huesca,71
SD Ponferradina,72
SD Ponferradina,72
Sevilla FC,73
Sevilla FC,73
Sevilla FC,73
Sevilla FC,73
Sevilla FC,73
Sevilla FC,73
Sevilla FC,73
Sevilla FC,73
Sevilla FC,73
Sevilla FC,73
Sevilla FC,73
Sevilla FC,73
Sevilla FC,73
Sevilla FC,73
Sevilla FC,73
Sevilla FC,73
Sevilla FC,73
Sevilla FC,73
Sevilla FC,73
Sevilla FC,73
Sevilla FC,73
Sevilla FC,73
Sevilla FC,73
Sevilla FC,73
Sevilla FC,73
Sevilla FC,73
Sevilla FC,73
Sevilla FC,73
Sevilla FC,73
Sevilla FC,73
Sevilla FC,73
Sevilla FC,73
Sevilla FC,73
Sevilla FC,73
Shakhtar Donetsk,74
Shakhtar Donetsk,74
Shakhtar Donetsk,74
Sporting CP,75
Sporting CP,75
Sporting Gijón,76
Sporting Gijón,76
Sporting Gijón,76
Sporting Gijón,76
Sporting Gijón,76
Sporting Gijón,76
Sporting Gijón,76
Sporting Gijón,76
Sporting Gijón,76
Sporting Gijón,76
Sporting Gijón,76
Sporting Gijón,76
SS Lazio,77
SS Lazio,77
SSC Napoli,78
SSC Napoli,78
Steaua Bukarest,79
Steaua Bukarest,79
SV Werder Bremen,80
SV Werder Bremen,80
Tottenham Hotspur,81
Tottenham Hotspur,81
Tottenham Hotspur,81
Tottenham Hotspur,81
UD Almería,82
UD Almería,82
UD Almería,82
UD Almería,82
UD Almería,82
UD Almería,82
UD Almería,82
UD Almería,82
UD Almería,82
UD Almería,82
UD Almería,82
UD Almería,82
UD Las Palmas,83
UD Las Palmas,83
UD Las Palmas,83
UD Las Palmas,83
UD Las Palmas,83
UD Las Palmas,83
UD Melilla,84
UD Melilla,84
UE Cornellà,85
UE Cornellà,85
Unionistas CF,86
Valencia CF,87
Valencia CF,87
Valencia CF,87
Valencia CF,87
Valencia CF,87
Valencia CF,87
Valencia CF,87
Valencia CF,87
Valencia CF,87
Valencia CF,87
Valencia CF,87
Valencia CF,87
Valencia CF,87
Valencia CF,87
Valencia CF,87
Valencia CF,87
Valencia CF,87
Valencia CF,87
Valencia CF,87
Valencia CF,87
Valencia CF,87
Valencia CF,87
Valencia CF,87
Valencia CF,87
Valencia CF,87
Valencia CF,87
Valencia CF,87
Valencia CF,87
Valencia CF,87
Valencia CF,87
Valencia CF,87
Valencia CF,87
Valencia CF,87
VfL Wolfsburg,88
VfL Wolfsburg,88
Villarreal CF,89
Villarreal CF,89
Villarreal CF,89
Villarreal CF,89
Villarreal CF,89
Villarreal CF,89
Villarreal CF,89
Villarreal CF,89
Villarreal CF,89
Villarreal CF,89
Villarreal CF,89
Villarreal CF,89
Villarreal CF,89
Villarreal CF,89
Villarreal CF,89
Villarreal CF,89
Villarreal CF,89
Villarreal CF,89
Villarreal CF,89
Villarreal CF,89
Villarreal CF,89
Villarreal CF,89
Villarreal CF,89
Villarreal CF,89
Villarreal CF,89
Villarreal CF,89
Villarreal CF,89
Villarreal CF,89
Xerez CD,90
Xerez CD,90
Zenit St. Petersburg,91
Zenit St. Petersburg,91
